instance,instance_id,n,error,algo,time_ms,peak_mb,gap,trial
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,C,1122.4345999071375,3.8149070739746094,0.0,8
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,C,1136.2394000170752,3.8149070739746094,0.0,9
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,C,1154.0200000163168,3.816650390625,0.0,10
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,A,2768.4290000470355,15.605308532714844,0.0,1
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,A,2723.328600055538,15.605308532714844,0.0,2
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,A,2712.4475999735296,15.605308532714844,0.0,3
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,A,2723.374299937859,15.605308532714844,0.0,4
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,A,2734.086100012064,15.605308532714844,0.0,5
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,A,2718.5133999446407,15.605308532714844,0.0,6
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,A,2736.3933000015095,15.606369018554688,0.0,7
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,A,2791.412900085561,15.605308532714844,0.0,8
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,A,2797.100899973884,15.605308532714844,0.0,9
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,A,2726.0966999456286,15.606369018554688,0.0,10
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,B,9936.368499998935,13.35516357421875,0.0,1
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,B,9963.44369999133,13.355010986328125,0.0,2
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,B,9943.89430002775,13.355010986328125,0.0,3
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,B,10012.169699999504,13.355010986328125,0.0,4
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,B,9966.74509998411,13.35516357421875,0.0,5
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,B,10017.816699924879,13.355010986328125,0.0,6
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,B,9972.873899969272,13.355010986328125,0.0,7
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,B,9929.349799989723,13.355010986328125,0.0,8
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,B,9912.341800052673,13.35516357421875,0.0,9
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,B,10048.001500079408,13.355010986328125,0.0,10
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,C,1218.609599978663,3.8149070739746094,0.0,1
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,C,1223.5940999817103,3.8149070739746094,0.0,2
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,C,1215.259600081481,3.8149070739746094,0.0,3
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,C,1222.4133999552578,3.816497802734375,0.0,4
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,C,1192.6994000095874,3.8149070739746094,0.0,5
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,C,1209.1499000089243,3.8149070739746094,0.0,6
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,C,1203.1693999888375,3.8149070739746094,0.0,7
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,C,1199.8002000618726,3.8149070739746094,0.0,8
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,C,1199.4617999298498,3.8149070739746094,0.0,9
sorting_near_sorted_14.json,sorting_near_sorted_14,500000,0.05,C,1232.1205000625923,3.816497802734375,0.0,10
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,A,2806.890600011684,15.603752136230469,0.0,1
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,A,2862.4737999634817,15.603752136230469,0.0,2
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,A,2900.4819999681786,15.603752136230469,0.0,3
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,A,2806.349500082433,15.603752136230469,0.0,4
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,A,2798.354299971834,15.603752136230469,0.0,5
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,A,2821.2338000303134,15.603752136230469,0.0,6
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,A,2820.905400090851,15.604812622070312,0.0,7
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,A,2794.6485000429675,15.603752136230469,0.0,8
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,A,2801.675399998203,15.603752136230469,0.0,9
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,A,2858.709199936129,15.604812622070312,0.0,10
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,B,10003.230300033465,13.355010986328125,0.0,1
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,B,10007.187100010924,13.35516357421875,0.0,2
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,B,9975.224199937657,13.355010986328125,0.0,3
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,B,9990.35159999039,13.355010986328125,0.0,4
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,B,10032.01970004011,13.355010986328125,0.0,5
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,B,10034.618100035004,13.35516357421875,0.0,6
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,B,9954.657300026156,13.355010986328125,0.0,7
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,B,10035.904100048356,13.355010986328125,0.0,8
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,B,9979.636400006711,13.355010986328125,0.0,9
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,B,9940.32850000076,13.35516357421875,0.0,10
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,C,1387.9717000527307,3.8149070739746094,0.0,1
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,C,1396.2752000661567,3.8149070739746094,0.0,2
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,C,1398.7250999780372,3.816497802734375,0.0,3
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,C,1367.966299992986,3.8149070739746094,0.0,4
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,C,1357.481100014411,3.8149070739746094,0.0,5
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,C,1374.9798000790179,3.8149070739746094,0.0,6
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,C,1367.140099988319,3.8149070739746094,0.0,7
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,C,1372.7840000065044,3.8149070739746094,0.0,8
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,C,1372.8010999038815,3.816497802734375,0.0,9
sorting_near_sorted_15.json,sorting_near_sorted_15,500000,0.1,C,1362.7646999666467,3.8149070739746094,0.0,10
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,A,4.817200009711087,0.03391265869140625,0.0,1
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,A,4.750799969770014,0.03391265869140625,0.0,2
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,A,4.877300001680851,0.03391265869140625,0.0,3
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,A,4.727199906483293,0.03391265869140625,0.0,4
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,A,4.6168999979272485,0.03391265869140625,0.0,5
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,A,4.634700017049909,0.03391265869140625,0.0,6
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,A,4.628900089301169,0.03391265869140625,0.0,7
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,A,4.701499943621457,0.03391265869140625,0.0,8
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,A,4.926900030113757,0.03391265869140625,0.0,9
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,A,4.799899994395673,0.03391265869140625,0.0,10
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,B,6.743600009940565,0.02825164794921875,0.0,1
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,B,6.7770000314339995,0.02825164794921875,0.0,2
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,B,6.747000035829842,0.02825164794921875,0.0,3
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,B,6.749600055627525,0.02825164794921875,0.0,4
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,B,6.946200039237738,0.02825164794921875,0.0,5
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,B,6.667500012554228,0.02825164794921875,0.0,6
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,B,6.58719998318702,0.02825164794921875,0.0,7
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,B,6.589800002984703,0.02825164794921875,0.0,8
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,B,6.65819994173944,0.02825164794921875,0.0,9
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,B,6.667000008746982,0.02825164794921875,0.0,10
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,C,1.814599963836372,0.007839202880859375,0.0,1
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,C,1.9325000466778874,0.007839202880859375,0.0,2
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,C,1.8061000155285,0.007839202880859375,0.0,3
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,C,1.940299989655614,0.007839202880859375,0.0,4
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,C,1.8482999876141548,0.007839202880859375,0.0,5
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,C,1.836199895478785,0.007839202880859375,0.0,6
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,C,1.8245999235659838,0.007839202880859375,0.0,7
sorting_near_sorted_2.json,sorting_near_sorted_2,1000,0.05,C,1.8951999954879284,0.007839202880859375,0.0,8
